Installation,Type,Source,Indicator,Value,Resolution
TAMBO REAL,Raw,ERA5-Land,rmse,0.22494023689897494,Hourly
TILTIL SOLAR,Raw,ERA5-Land,rmse,0.21926261386424226,Hourly
URIBE SOLAR,Raw,ERA5-Land,rmse,0.2788920688694976,Hourly
VALLE DE LA LUNA II,Raw,ERA5-Land,rmse,0.21591939211384065,Hourly
ANDES SOLAR,Raw,ERA5-Land,pearson,0.4542872107256888,Daily
BELLAVISTA,Raw,ERA5-Land,pearson,0.5502644413046263,Daily
CARRERA PINTO ETAPA I,Raw,ERA5-Land,pearson,0.2391302162161542,Daily
CHANARES,Raw,ERA5-Land,pearson,0.3650880216378764,Daily
CONEJO SOLAR,Raw,ERA5-Land,pearson,0.3239187494685047,Daily
CORDILLERILLA,Raw,ERA5-Land,pearson,0.7306075351262288,Daily
EL DIVISADERO,Raw,ERA5-Land,pearson,0.5969693907981345,Daily
FV BOLERO,Raw,ERA5-Land,pearson,0.4605050744070617,Daily
LA CHAPEANA,Raw,ERA5-Land,pearson,0.6394984512507733,Daily
LA QUINTA SOLAR,Raw,ERA5-Land,pearson,0.6386150632438851,Daily
LALACKAMA,Raw,ERA5-Land,pearson,0.4972776847533597,Daily
LALACKAMA 2,Raw,ERA5-Land,pearson,0.4356960387546303,Daily
LAS ARAUCARIAS,Raw,ERA5-Land,pearson,0.6483236559538181,Daily
LAS MOLLACAS,Raw,ERA5-Land,pearson,0.6702723675015118,Daily
LAS TURCAS,Raw,ERA5-Land,pearson,0.6620884040145864,Daily
LOS PUQUIOS,Raw,ERA5-Land,pearson,0.3985941007064976,Daily
LUNA DEL NORTE,Raw,ERA5-Land,pearson,0.8067079799892758,Daily
LUZ DEL NORTE,Raw,ERA5-Land,pearson,0.24823800392702136,Daily
MARIA ELENA FV,Raw,ERA5-Land,pearson,0.42394515689966666,Daily
PAMPA SOLAR NORTE,Raw,ERA5-Land,pearson,0.37817072534503104,Daily
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,pearson,0.6639877981480106,Daily
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,pearson,0.31977131120091085,Daily
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,pearson,0.5190950956085117,Daily
PFV LAGUNILLA,Raw,ERA5-Land,pearson,0.6356967176169298,Daily
PFV LOS LOROS,Raw,ERA5-Land,pearson,0.8567790430009598,Daily
PILOTO SOLAR CARDONES,Raw,ERA5-Land,pearson,0.025274648158818743,Daily
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,pearson,0.06566958132591186,Daily
PMGD PICA PILOT,Raw,ERA5-Land,pearson,0.17748281589613135,Daily
PUERTO SECO SOLAR,Raw,ERA5-Land,pearson,0.5066469037554004,Daily
PV SALVADOR,Raw,ERA5-Land,pearson,0.4307337715134855,Daily
QUILAPILUN,Raw,ERA5-Land,pearson,0.5771217199978247,Daily
SAN FRANCISCO SOLAR,Raw,ERA5-Land,pearson,0.6392445451362402,Daily
SANTA JULIA,Raw,ERA5-Land,pearson,0.7565563391295119,Daily
SDGX01,Raw,ERA5-Land,pearson,0.5039310950297524,Daily
SOL DEL NORTE,Raw,ERA5-Land,pearson,0.8003065445810469,Daily
SOLAR ANTAY,Raw,ERA5-Land,pearson,0.4385980584254072,Daily
SOLAR CHUCHINI,Raw,ERA5-Land,pearson,0.8040931847357734,Daily
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,pearson,0.223968665603144,Daily
SOLAR EL AGUILA I,Raw,ERA5-Land,pearson,0.26326536735114897,Daily
SOLAR EL ROMERO,Raw,ERA5-Land,pearson,0.425734848392934,Daily
SOLAR ESPERANZA,Raw,ERA5-Land,pearson,0.5778223290490744,Daily
SOLAR HORMIGA,Raw,ERA5-Land,pearson,0.5584275302253624,Daily
SOLAR JAMA 1,Raw,ERA5-Land,pearson,0.5367544036427517,Daily
