Installation,Type,Source,Indicator,Value,Resolution,set,Set
LUNA DEL NORTE,Raw,ERA5-Land,rmse,0.1173825278134357,Hourly,subset_2,S2
LUZ DEL NORTE,Raw,ERA5-Land,rmse,0.27822901119677723,Hourly,all,All
MARIA ELENA FV,Raw,ERA5-Land,rmse,0.22380965689277527,Hourly,subset_1,S1
PAMPA SOLAR NORTE,Raw,ERA5-Land,rmse,0.26741993825846394,Hourly,all,All
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,rmse,0.20364499068487416,Hourly,all,All
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,rmse,0.236856757753868,Hourly,all,All
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,rmse,0.2239664658822074,Hourly,all,All
PFV LAGUNILLA,Raw,ERA5-Land,rmse,0.2328459436504841,Hourly,all,All
PFV LOS LOROS,Raw,ERA5-Land,rmse,0.19989345846943585,Hourly,all,All
PILOTO SOLAR CARDONES,Raw,ERA5-Land,rmse,0.3029527296384847,Hourly,subset_1,S1
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,rmse,0.2507007631069603,Hourly,all,All
PMGD PICA PILOT,Raw,ERA5-Land,rmse,0.4380752023333017,Hourly,all,All
PUERTO SECO SOLAR,Raw,ERA5-Land,rmse,0.30475091381847985,Hourly,subset_1,S1
PV SALVADOR,Raw,ERA5-Land,rmse,0.2554315863641036,Hourly,all,All
QUILAPILUN,Raw,ERA5-Land,rmse,0.21597548228565025,Hourly,all,All
SAN FRANCISCO SOLAR,Raw,ERA5-Land,rmse,0.2309296184321271,Hourly,subset_1,S1
SANTA JULIA,Raw,ERA5-Land,rmse,0.22396897368059931,Hourly,subset_1,S1
SDGX01,Raw,ERA5-Land,rmse,0.17061684437415234,Hourly,all,All
SOL DEL NORTE,Raw,ERA5-Land,rmse,0.11849611658977505,Hourly,subset_2,S2
SOLAR ANTAY,Raw,ERA5-Land,rmse,0.16042456436644234,Hourly,all,All
SOLAR CHUCHINI,Raw,ERA5-Land,rmse,0.12645293428795013,Hourly,subset_1,S1
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,rmse,0.23567308816146476,Hourly,all,All
SOLAR EL AGUILA I,Raw,ERA5-Land,rmse,0.16064853812250754,Hourly,all,All
SOLAR EL ROMERO,Raw,ERA5-Land,rmse,0.2407712421183435,Hourly,all,All
SOLAR ESPERANZA,Raw,ERA5-Land,rmse,0.13546103310912752,Hourly,all,All
SOLAR HORMIGA,Raw,ERA5-Land,rmse,0.18127014942912761,Hourly,all,All
SOLAR JAMA 1,Raw,ERA5-Land,rmse,0.2696516198321891,Hourly,subset_1,S1
SOLAR JAMA 2,Raw,ERA5-Land,rmse,0.24097230265892686,Hourly,subset_1,S1
SOLAR JAVIERA,Raw,ERA5-Land,rmse,0.2470044688800917,Hourly,all,All
SOLAR LA SILLA,Raw,ERA5-Land,rmse,0.22479613356074304,Hourly,all,All
SOLAR LAS TERRAZAS,Raw,ERA5-Land,rmse,0.2746083538489501,Hourly,all,All
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,rmse,0.2266946960516873,Hourly,all,All
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,rmse,0.1155275085249886,Hourly,subset_2,S2
SOLAR SAN ANDRES,Raw,ERA5-Land,rmse,0.2626718073850109,Hourly,all,All
SOLAR SANTA CECILIA,Raw,ERA5-Land,rmse,0.1323781810975676,Hourly,subset_2,S2
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,rmse,0.2990295009726836,Hourly,all,All
SPS LA HUAYCA,Raw,ERA5-Land,rmse,0.08422149182946907,Hourly,subset_2,S2
TAMBO REAL,Raw,ERA5-Land,rmse,0.22494023689897494,Hourly,all,All
TILTIL SOLAR,Raw,ERA5-Land,rmse,0.21926261386424226,Hourly,subset_1,S1
URIBE SOLAR,Raw,ERA5-Land,rmse,0.2788920688694976,Hourly,subset_1,S1
